file,event,event_group,duration_sec,samples,channels,pairs_used
251215_000006_EEG_1.csv,13:05:09 Глаза закрыты,eyes_closed,30.676,15338,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_2.csv,13:05:40 Глаза открыты,eyes_open,31.89,15945,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_3.csv,13:06:11 Рука,movement,30.264,15132,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_4.csv,13:06:42 Глаза закрыты,eyes_closed,29.248,14624,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_5.csv,13:07:11 Глаза открыты,eyes_open,28.036,14018,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_6.csv,13:07:39 Рука,movement,29.044,14522,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_7.csv,13:08:08 Глаза закрыты,eyes_closed,29.044,14522,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_8.csv,13:08:37 Глаза открыты,eyes_open,29.656,14828,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000006_EEG_9.csv,13:09:07 Рука,movement,13.408,6704,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_1.csv,13:14:40 Глаза закрыты,eyes_closed,29.658,14829,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_2.csv,13:15:10 Глаза открыты,eyes_open,27.014,13507,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_3.csv,13:15:37 Рука,movement,30.67,15335,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_4.csv,13:16:07 Глаза закрыты,eyes_closed,31.08,15540,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_5.csv,13:16:38 Глаза открыты,eyes_open,29.656,14828,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_6.csv,13:17:08 Рука,movement,30.672,15336,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_7.csv,13:17:39 Глаза закрыты,eyes_closed,30.466,15233,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_8.csv,13:18:09 Глаза открыты,eyes_open,31.484,15742,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000007_EEG_9.csv,13:18:41 Рука,movement,17.062,8531,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_1.csv,13:27:00 Глаза закрыты,eyes_closed,30.674,15337,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_2.csv,13:27:31 Глаза открыты,eyes_open,31.688,15844,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_3.csv,13:28:02 Рука,movement,30.06,15030,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_4.csv,13:28:32 Глаза закрыты,eyes_closed,28.032,14016,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_5.csv,13:29:00 Глаза открыты,eyes_open,31.284,15642,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_6.csv,13:29:32 Рука,movement,31.08,15540,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_7.csv,13:30:03 Глаза закрыты,eyes_closed,31.074,15537,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_8.csv,13:30:34 Глаза открыты,eyes_open,31.076,15538,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
251215_000008_EEG_9.csv,13:31:05 Рука,movement,16.454,8227,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
260209_0000010_EEG.csv,12:33:00 Глаза открыты,eyes_open,32.096,16048,"['Fp1', 'Fp2', 'O1', 'O2', 'POLY3', 'POLY4', 'A1', 'A2']",16
