file,event,event_group,window_start_sec,window_end_sec,left_group,right_group,comparison,left_channel,right_channel,pair,relation_type,time_corr_r,abs_time_corr_r,max_lag_corr_r,abs_max_lag_corr_r,best_lag_sec,delta_coherence,delta_imag_coherence,delta_plv,delta_pli,delta_wpli,theta_coherence,theta_imag_coherence,theta_plv,theta_pli,theta_wpli,alpha_coherence,alpha_imag_coherence,alpha_plv,alpha_pli,alpha_wpli,beta1_coherence,beta1_imag_coherence,beta1_plv,beta1_pli,beta1_wpli,beta2_emg_sensitive_coherence,beta2_emg_sensitive_imag_coherence,beta2_emg_sensitive_plv,beta2_emg_sensitive_pli,beta2_emg_sensitive_wpli,poly_artifact_score,poly_rms,poly_line_length,poly_hf_ratio_20_30,poly_artifact_flag,artifact_weight
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,0.0,4.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.9198149668665656,0.9198149668665656,0.9198149668665657,0.9198149668665657,0.0,0.9512487352811779,0.06854369370129781,,,,0.5553927738437013,0.19843821622057103,,,,0.49451142692058614,0.4713473219285341,0.38575926400574245,0.23046875,0.25414710394571505,0.4842942174454974,0.2769900693893178,,,,0.6087438932314164,0.2596791424393945,0.3481338961424984,0.07421875,0.06200755014423328,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,0.0,4.0,left_motor_eeg,right_motor_eeg,left_motor_eeg__vs__right_motor_eeg,C3,C4,C3-C4,EEG_EEG_CONNECTIVITY,0.7988184956443092,0.7988184956443092,0.8219799650512444,0.8219799650512444,-0.015625,0.6923542846644208,0.27291991943315536,,,,0.617081842848661,0.30039397751194435,,,,0.6274591930195933,0.2009783504944484,0.6863943723057967,0.0234375,0.09326124503656537,0.7443026019728645,0.18233878245716045,,,,0.6556318259900784,0.21714029649465671,0.6857326850381315,0.0546875,0.22794828386268795,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,0.0,4.0,left_occipital_eeg,right_occipital_eeg,left_occipital_eeg__vs__right_occipital_eeg,O1,O2,O1-O2,EEG_EEG_CONNECTIVITY,0.7649001620107945,0.7649001620107945,0.7821341713146375,0.7821341713146375,-0.015625,0.7424578422218477,0.14472021691519243,,,,0.38256975749225147,0.3098854084818643,,,,0.4278799613281781,0.33882279830478385,0.43128482585588074,0.2890625,0.5790626403896667,0.7208074078321907,0.24688306586369152,,,,0.5604220559771231,0.33072012009324336,0.6439837998829828,0.04296875,0.03531431229239142,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,1.0,5.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.8970931942926038,0.8970931942926038,0.8970931942926038,0.8970931942926038,0.0,0.9261768392406843,0.05515016787559899,,,,0.43541900436682107,0.2232365758491867,,,,0.5103146849218732,0.33417461927630504,0.5145236765713066,0.03515625,0.2967575415488233,0.36087438081349343,0.1935041855228894,,,,0.6058355001495384,0.17493711698009387,0.40095332654377014,0.1328125,0.21257977798157032,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,1.0,5.0,left_motor_eeg,right_motor_eeg,left_motor_eeg__vs__right_motor_eeg,C3,C4,C3-C4,EEG_EEG_CONNECTIVITY,0.7589989727828673,0.7589989727828673,0.779527665470937,0.779527665470937,-0.015625,0.6722532889378745,0.33276094445821647,,,,0.6844529411722118,0.4078411665348586,,,,0.5808943370945564,0.21825686480027354,0.582699388111683,0.03125,0.11199850181833819,0.7484073441217837,0.18544599763892464,,,,0.6542262981201832,0.19965202815623648,0.7484065728001872,0.05078125,0.20350186858961225,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,1.0,5.0,left_occipital_eeg,right_occipital_eeg,left_occipital_eeg__vs__right_occipital_eeg,O1,O2,O1-O2,EEG_EEG_CONNECTIVITY,0.6940331638928687,0.6940331638928687,0.7160595949733335,0.7160595949733335,-0.015625,0.6944689155637177,0.25691805048927446,,,,0.41850413567619854,0.3093800175837173,,,,0.4672137759509753,0.3124974763548642,0.4675671981571663,0.28515625,0.4664191202310241,0.738293135341972,0.2266557876560536,,,,0.604640490976335,0.34344115152705373,0.6921919718332336,0.0390625,0.08158312315493288,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,2.0,6.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.6288720013873336,0.6288720013873336,0.6288720013873333,0.6288720013873333,0.0,0.5817022804722777,0.09345698082327059,,,,0.37347330416775293,0.17537479233528658,,,,0.5758857103461749,0.31017016263825237,0.5786130804629203,0.13671875,0.00715327956987566,0.5473541325407534,0.29077246469535245,,,,0.7110182312302633,0.23277462514505523,0.4619267631593855,0.20703125,0.30144502399629874,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,2.0,6.0,left_motor_eeg,right_motor_eeg,left_motor_eeg__vs__right_motor_eeg,C3,C4,C3-C4,EEG_EEG_CONNECTIVITY,0.8176498163190596,0.8176498163190596,0.8338806598467424,0.8338806598467424,-0.0078125,0.695199512223131,0.21572052349266935,,,,0.7558548338861355,0.46027146878809033,,,,0.46722755733082855,0.13732607949915043,0.5708006007048437,0.0078125,0.18022659633332738,0.739004767625522,0.23064721597728363,,,,0.7382965237576575,0.20074131758364255,0.7502231600576474,0.21484375,0.4590850479306364,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,2.0,6.0,left_occipital_eeg,right_occipital_eeg,left_occipital_eeg__vs__right_occipital_eeg,O1,O2,O1-O2,EEG_EEG_CONNECTIVITY,0.7184093452822656,0.7184093452822656,0.746837562031681,0.746837562031681,-0.015625,0.7157584621647781,0.30542407196362376,,,,0.5596747704403258,0.40072687379435723,,,,0.5389648173641095,0.2778167466567947,0.5668964202119988,0.3828125,0.4336291618426319,0.7413854222573628,0.2102375133370982,,,,0.6464484015018643,0.25610081260188583,0.7722793280267687,0.0234375,0.0031323556098737785,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,3.0,7.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.2793207340709539,0.2793207340709539,-0.35785464197147226,0.35785464197147226,-0.203125,0.30107285113424326,0.21766375241932914,,,,0.43104241243387065,0.3884087146155345,,,,0.43180889780835774,0.27427328129241946,0.6185783785106947,0.26953125,0.2699816196809147,0.5542720993339559,0.2308358788671621,,,,0.6326753200718074,0.30600119906901196,0.5007225091986367,0.2265625,0.4619886432923479,0.0,,,,False,1.0
