ch1,ch2,expected,event_label,pair,band,fmin,fmax,coh,imcoh,plv,pli,wpli
Fp1,POLY3,eeg_neck_emg,Глаза закрыты,Fp1-POLY3,delta,1.0,4.0,0.07531524695162654,0.048409564212540904,0.1103336726525614,0.11014492753623188,0.14831508507466612
Fp1,POLY3,eeg_neck_emg,Глаза закрыты,Fp1-POLY3,theta,4.0,8.0,0.14173423425605378,0.00923263128192463,0.12388058428343465,0.11036789297658862,0.1749345160135374
Fp1,POLY3,eeg_neck_emg,Глаза закрыты,Fp1-POLY3,alpha,8.0,13.0,0.09683075235092697,-0.004318810184851267,0.11643449137019031,0.0815217391304348,0.11128990140759681
Fp1,POLY3,eeg_neck_emg,Глаза закрыты,Fp1-POLY3,beta,13.0,30.0,0.1138701579809096,0.028033238159284442,0.10786596340155227,0.09420289855072464,0.14918708407471176
Fp1,POLY3,eeg_neck_emg,Глаза закрыты,Fp1-POLY3,high_beta,20.0,30.0,0.11707983197857533,0.011754840346813993,0.12370611584837132,0.09864422627395981,0.15331762024461243
Fp1,POLY3,eeg_neck_emg,Глаза закрыты,Fp1-POLY3,low_gamma,30.0,45.0,0.0997390517369717,0.0082787583592833,0.10900972362015393,0.09703843730308759,0.1321169486301894
Fp1,POLY4,eeg_neck_emg,Глаза закрыты,Fp1-POLY4,delta,1.0,4.0,0.14883911279595954,0.05234583249781048,0.08695947282335319,0.07536231884057971,0.204325009950776
Fp1,POLY4,eeg_neck_emg,Глаза закрыты,Fp1-POLY4,theta,4.0,8.0,0.1038560897692247,-0.031235341896200065,0.10639728056285828,0.07915273132664437,0.14012816179083723
Fp1,POLY4,eeg_neck_emg,Глаза закрыты,Fp1-POLY4,alpha,8.0,13.0,0.09865056967241291,0.03990755230053876,0.11130179071804057,0.07427536231884058,0.13643591022049764
Fp1,POLY4,eeg_neck_emg,Глаза закрыты,Fp1-POLY4,beta,13.0,30.0,0.1039034263850885,0.01011331913621727,0.09998973251990949,0.09364548494983278,0.13375915916951497
Fp1,POLY4,eeg_neck_emg,Глаза закрыты,Fp1-POLY4,high_beta,20.0,30.0,0.10926683559847981,0.008734501524672797,0.10073620924577298,0.09957924263674614,0.14489382057323547
Fp1,POLY4,eeg_neck_emg,Глаза закрыты,Fp1-POLY4,low_gamma,30.0,45.0,0.09921808657925286,0.017048796403800092,0.09874469965275103,0.08254568367989921,0.12672182911450636
Fp2,POLY3,eeg_neck_emg,Глаза закрыты,Fp2-POLY3,delta,1.0,4.0,0.07595807022353128,0.04412773000305656,0.11078057761061177,0.11014492753623191,0.15045262006422902
Fp2,POLY3,eeg_neck_emg,Глаза закрыты,Fp2-POLY3,theta,4.0,8.0,0.1382919218291481,0.010475178475042443,0.1256446464171542,0.1036789297658863,0.16254198296812267
Fp2,POLY3,eeg_neck_emg,Глаза закрыты,Fp2-POLY3,alpha,8.0,13.0,0.0976080197175829,-0.0008775090621911627,0.1165569013999033,0.08333333333333334,0.11328502963058659
Fp2,POLY3,eeg_neck_emg,Глаза закрыты,Fp2-POLY3,beta,13.0,30.0,0.11696893411570551,0.03009359516166951,0.10823209129492728,0.1042363433667782,0.15493735708391035
