event_group,comparison,relation_type,n_windows,artifact_rate,mean_abs_corr,mean_alpha_coherence,mean_alpha_wpli,mean_beta2_coherence
eyes_closed,ears_reference_sensitive__vs__ears_reference_sensitive,EEG_EEG_CONNECTIVITY,518,0.46332046332046334,0.07181316383253067,0.34143669797200904,,0.34529129378061846
eyes_closed,ears_reference_sensitive__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,2072,0.46332046332046334,0.2834082095233122,0.48398309134588025,,0.4814799857185467
eyes_closed,frontal_eeg__vs__frontal_eeg,EEG_EEG_CONNECTIVITY,518,0.46332046332046334,0.20627242258351608,0.4369734945711953,,0.4424233149822046
eyes_closed,frontal_eeg__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,2072,0.46332046332046334,0.34739342393281764,0.5238062455540282,,0.5213659981096727
eyes_closed,neck_poly_bipolar__vs__neck_poly_bipolar,POLY_POLY_LOCAL_NECK_SIMILARITY,518,0.46332046332046334,0.020816725426083094,0.3441024730578102,,0.33921532152622597
eyes_closed,occipital_eeg__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,2072,0.46332046332046334,0.27864591042538167,0.4557711036078538,,0.4444586035583246
eyes_closed,occipital_eeg__vs__occipital_eeg,EEG_EEG_CONNECTIVITY,518,0.46332046332046334,0.024097977884551553,0.33810571030435094,,0.3343917712464471
eyes_open,ears_reference_sensitive__vs__ears_reference_sensitive,EEG_EEG_CONNECTIVITY,492,0.4898373983739837,0.06864003637153634,0.3372911480109541,,0.33643442939712553
eyes_open,ears_reference_sensitive__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,1968,0.4898373983739837,0.2839040319059267,0.47965606227092034,,0.4813549349655327
eyes_open,frontal_eeg__vs__frontal_eeg,EEG_EEG_CONNECTIVITY,492,0.4898373983739837,0.19302590366391847,0.4403058073206422,,0.4428904782727674
eyes_open,frontal_eeg__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,1968,0.4898373983739837,0.34572553138023904,0.5242794974115346,,0.5217457993198583
eyes_open,neck_poly_bipolar__vs__neck_poly_bipolar,POLY_POLY_LOCAL_NECK_SIMILARITY,492,0.4898373983739837,0.0216670500324468,0.33277510400345117,,0.3401589121096391
eyes_open,occipital_eeg__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,1968,0.4898373983739837,0.2786391461270358,0.4572940956980886,,0.4548685757213136
eyes_open,occipital_eeg__vs__occipital_eeg,EEG_EEG_CONNECTIVITY,492,0.4898373983739837,0.024908833906475542,0.3335986250215796,,0.3417269140466401
movement,ears_reference_sensitive__vs__ears_reference_sensitive,EEG_EEG_CONNECTIVITY,271,0.7343173431734318,0.05777750169279911,0.3453710535749164,,0.3385747871352633
movement,ears_reference_sensitive__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,1084,0.7343173431734318,0.28486453241993936,0.4899180037559304,,0.4823068586297585
movement,frontal_eeg__vs__frontal_eeg,EEG_EEG_CONNECTIVITY,271,0.7343173431734318,0.28179106295783585,0.4808471988062261,,0.4272258581111058
movement,frontal_eeg__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,1084,0.7343173431734318,0.3517965689762961,0.5336749849222048,,0.5121103768864702
movement,neck_poly_bipolar__vs__neck_poly_bipolar,POLY_POLY_LOCAL_NECK_SIMILARITY,271,0.7343173431734318,0.0321387517578249,0.3312480156682176,,0.34363725554264996
movement,occipital_eeg__vs__neck_poly_bipolar,EEG_POLY_SPECTRAL_SIMILARITY,1084,0.7343173431734318,0.2848655167574811,0.4758663651181896,,0.4758613750542483
movement,occipital_eeg__vs__occipital_eeg,EEG_EEG_CONNECTIVITY,271,0.7343173431734318,0.04161140305293141,0.3475301904780073,,0.33400304672736164
