comparison,pair,relation_type,n_windows_all,n_windows_clean,artifact_rate,all_abs_time_corr_r,clean_abs_time_corr_r,weighted_abs_time_corr_r,all_abs_max_lag_corr_r,clean_abs_max_lag_corr_r,weighted_abs_max_lag_corr_r,all_delta_coherence,clean_delta_coherence,weighted_delta_coherence,all_delta_imag_coherence,clean_delta_imag_coherence,weighted_delta_imag_coherence,all_delta_plv,clean_delta_plv,weighted_delta_plv,all_delta_pli,clean_delta_pli,weighted_delta_pli,all_delta_wpli,clean_delta_wpli,weighted_delta_wpli,all_theta_coherence,clean_theta_coherence,weighted_theta_coherence,all_theta_imag_coherence,clean_theta_imag_coherence,weighted_theta_imag_coherence,all_theta_plv,clean_theta_plv,weighted_theta_plv,all_theta_pli,clean_theta_pli,weighted_theta_pli,all_theta_wpli,clean_theta_wpli,weighted_theta_wpli,all_alpha_coherence,clean_alpha_coherence,weighted_alpha_coherence,all_alpha_imag_coherence,clean_alpha_imag_coherence,weighted_alpha_imag_coherence,all_alpha_plv,clean_alpha_plv,weighted_alpha_plv,all_alpha_pli,clean_alpha_pli,weighted_alpha_pli,all_alpha_wpli,clean_alpha_wpli,weighted_alpha_wpli,all_beta1_coherence,clean_beta1_coherence,weighted_beta1_coherence,all_beta1_imag_coherence,clean_beta1_imag_coherence,weighted_beta1_imag_coherence,all_beta1_plv,clean_beta1_plv,weighted_beta1_plv,all_beta1_pli,clean_beta1_pli,weighted_beta1_pli,all_beta1_wpli,clean_beta1_wpli,weighted_beta1_wpli,all_beta2_emg_sensitive_coherence,clean_beta2_emg_sensitive_coherence,weighted_beta2_emg_sensitive_coherence,all_beta2_emg_sensitive_imag_coherence,clean_beta2_emg_sensitive_imag_coherence,weighted_beta2_emg_sensitive_imag_coherence,all_beta2_emg_sensitive_plv,clean_beta2_emg_sensitive_plv,weighted_beta2_emg_sensitive_plv,all_beta2_emg_sensitive_pli,clean_beta2_emg_sensitive_pli,weighted_beta2_emg_sensitive_pli,all_beta2_emg_sensitive_wpli,clean_beta2_emg_sensitive_wpli,weighted_beta2_emg_sensitive_wpli
ears_reference_sensitive__vs__ears_reference_sensitive,A1-A2,EEG_EEG_CONNECTIVITY,1281,601,0.5308352849336456,0.06762515200530471,0.09952544808723326,0.07774101924841215,0.12907861212921248,0.12628291758266935,0.12721600413360376,0.3380677564366954,0.3420738590695672,0.33878150755961867,0.3390209699057379,0.3376738014194939,0.33879658750819974,,,,,,,,,,0.33647369485094525,0.3341548701618906,0.33597609413555357,0.3392932635018648,0.3332908073219382,0.33757203025761207,,,,,,,,,,0.34067682270858113,0.3386331680337888,0.3396660430484231,0.3486056349420902,0.3492580202772722,0.3492705886845383,,,,,,,,,,0.3397441899765954,0.3401680773562192,0.34046895732894916,0.3431575994949625,0.342327561847651,0.3435132350287624,,,,,,,,,,0.3404686937981284,0.3397189647137184,0.3401369756261252,0.34156869546676677,0.3405384153276527,0.3409792601445604,,,,,,,,,
ears_reference_sensitive__vs__neck_poly_bipolar,A1-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.9977558558660516,0.9998825178136543,0.9984776221771552,0.9977611543211674,0.999882963450229,0.9984812928183083,0.9539662746294902,0.918258804261215,0.9434072417790105,0.06775244514884628,0.10173501053011982,0.0780614828885026,,,,,,,,,,0.9500358773373611,0.9190665071899059,0.9406400859181343,0.08166750929465837,0.11119253841392718,0.09123721929236564,,,,,,,,,,0.912561091465991,0.8538208531732306,0.8932617805448837,0.110790476192056,0.15034048177953982,0.12430322652731962,,,,,,,,,,0.9122647628646504,0.8779388508317993,0.900904295417658,0.11160960983612325,0.13507121057656898,0.11942286271209074,,,,,,,,,,0.9060890995319025,0.916424369655601,0.9093164200588615,0.12189631296715217,0.11026560600590014,0.11814909632225945,,,,,,,,,
ears_reference_sensitive__vs__neck_poly_bipolar,A2-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.04610358336210885,0.04271282060341652,0.04509729324637991,0.13088666838464574,0.13137861649581625,0.1309170580602493,0.3483439601817911,0.34799801189578505,0.34852648224517435,0.3475384124799027,0.3449922251405055,0.346847680013343,,,,,,,,,,0.344640955521212,0.34491746486797326,0.3451726469828125,0.3500242671694156,0.3505197187938114,0.3503851362353114,,,,,,,,,,0.34287217014133814,0.3428292331233222,0.3424120814975033,0.34383338752598325,0.34184596382616894,0.34303890037242063,,,,,,,,,,0.3413610151536343,0.34071107967204717,0.3410158603866553,0.3482282256644289,0.34686110020927463,0.3477648089428456,,,,,,,,,,0.33934369026309547,0.3387426383711492,0.3389308618611218,0.34477406610648476,0.34406981069572184,0.34437308807453815,,,,,,,,,
ears_reference_sensitive__vs__neck_poly_bipolar,A2-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.06627208424335573,0.09973841067685181,0.07691342156272107,0.12839998730446467,0.1262537931122613,0.12675963230162826,0.3388973346181617,0.3445756943760226,0.34023591612978354,0.3387229254006773,0.3389096163429802,0.33875079412265413,,,,,,,,,,0.3363365252577375,0.3343587511514124,0.33595118300387844,0.3379307864472157,0.3294834246946678,0.33526526301140414,,,,,,,,,,0.34163123520988703,0.3407857832785045,0.3411377901066135,0.3484418104953845,0.3490320278163941,0.34889196024655084,,,,,,,,,,0.3414323797522735,0.3444794337266194,0.34315078975393093,0.3445135702472407,0.3454899736757236,0.3453137483574515,,,,,,,,,,0.3402332628446163,0.33943909520365095,0.33984332360730396,0.3409677392228899,0.3383062824239545,0.33970646622288636,,,,,,,,,
ears_reference_sensitive__vs__neck_poly_bipolar,A1-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.025495407103332233,0.015080064427322553,0.021292776379350592,0.05112913416575683,0.02933429906798014,0.04306180559942343,0.3448880528366356,0.34228112284525136,0.34376666894402835,0.35120575848886687,0.3543547325796751,0.35150837660805306,,,,,,,,,,0.33658683965489467,0.3331482263132066,0.3355716233822551,0.3399865764348693,0.3337734470312276,0.33762768239836816,,,,,,,,,,0.3372424601611317,0.33593103834929977,0.3367035150104004,0.3464072418166513,0.34597016899428135,0.3462750706725419,,,,,,,,,,0.33641693123623023,0.3377732150893873,0.33673181019902326,0.33901606379325927,0.33924181705449014,0.33940981317989327,,,,,,,,,,0.34076148613919527,0.3403347591203122,0.34083111298171614,0.34573879008587644,0.3485923721953577,0.3468080128696835,,,,,,,,,
frontal_eeg__vs__frontal_eeg,Fp1-Fp2,EEG_EEG_CONNECTIVITY,1281,601,0.5308352849336456,0.22367800842890814,,0.22367800842890814,0.9002501304048964,,0.9002501304048965,0.5858120584569028,,0.5858120584569028,0.2858404657430447,,0.28584046574304467,,,,,,,,,,0.4955761613562896,,0.4955761613562896,0.32458656564803645,,0.32458656564803645,,,,,,,,,,0.4509940159173539,,0.4509940159173539,0.33866214121755145,,0.33866214121755145,,,,,,,,,,0.4461510226194045,,0.4461510226194045,0.3336243857941557,,0.3336243857941557,,,,,,,,,,0.4381413920934943,,0.4381413920934943,0.3309762750789554,,0.3309762750789554,,,,,,,,,
frontal_eeg__vs__neck_poly_bipolar,Fp2-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.38540484972058536,0.9993506531863774,0.508037252100994,0.9190828623981744,0.9993506531863774,0.9351155073939325,0.6507986517783259,0.8787787480832157,0.6965671337041708,0.25089144571855293,0.127738667566179,0.2262499080528453,,,,,,,,,,0.5646200526306212,0.804267221371005,0.6123429910583938,0.2930721163856938,0.1800813826697419,0.2709102908670336,,,,,,,,,,0.5008190363488109,0.6665509982814394,0.5342790944230377,0.3131946316986834,0.23596563999937697,0.29760693370056357,,,,,,,,,,0.5103800085972994,0.7251897080337859,0.5529796034116168,0.3049986120736503,0.21128645291443493,0.2866613439504506,,,,,,,,,,0.5001988685939235,0.7186319187449303,0.5426201568996516,0.3036617374662267,0.21109416254192603,0.28554423416997565,,,,,,,,,
frontal_eeg__vs__neck_poly_bipolar,Fp2-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.04840947458008729,0.013115705285386062,0.04104537708468754,0.09017528439183012,0.028958135302541096,0.07763958221942766,0.35004713252903097,0.3458993345753472,0.3490616093013818,0.35231611202991514,0.35702728634043457,0.35315865948451364,,,,,,,,,,0.33605325287534715,0.34051187537723754,0.3370722514032014,0.34049658707876373,0.34768526905167585,0.3416348047780506,,,,,,,,,,0.3396343266333748,0.34594917185030066,0.3405938380798819,0.34524614441393514,0.34184070656755744,0.3441891824766475,,,,,,,,,,0.33876986945842613,0.33146941003204455,0.33704765696929706,0.342412619502148,0.3369684541893176,0.34117747770772083,,,,,,,,,,0.33816300962952545,0.3331694170078011,0.3370496150991442,0.34267084179750673,0.33897221859393484,0.34167725458817677,,,,,,,,,
frontal_eeg__vs__neck_poly_bipolar,Fp1-POLY3,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.03378085859129131,,0.03378085859129131,0.0690649077229213,,0.06906490772292131,0.3473662001265844,,0.3473662001265844,0.34829480327327145,,0.34829480327327145,,,,,,,,,,0.33951182425510146,,0.33951182425510146,0.3461458653014422,,0.3461458653014422,,,,,,,,,,0.33698425976556373,,0.3369842597655638,0.3460174104313265,,0.3460174104313265,,,,,,,,,,0.33463904462753674,,0.33463904462753674,0.3383742586370823,,0.3383742586370823,,,,,,,,,,0.33929450092091185,,0.3392945009209118,0.34304378766203253,,0.34304378766203253,,,,,,,,,
frontal_eeg__vs__neck_poly_bipolar,Fp1-POLY4,EEG_POLY_SPECTRAL_SIMILARITY,1281,601,0.5308352849336456,0.9979825692189708,,0.997982569218971,0.9980024992368877,,0.9980024992368877,0.9926727683827808,,0.9926727683827808,0.027882634607792438,,0.02788263460779244,,,,,,,,,,0.9925453886522789,,0.9925453886522789,0.0319322700203941,,0.03193227002039411,,,,,,,,,,0.9890404007627985,,0.9890404007627985,0.04106697768289964,,0.04106697768289964,,,,,,,,,,0.9794522334883942,,0.9794522334883943,0.05318388999352221,,0.05318388999352221,,,,,,,,,,0.9543287485183256,,0.9543287485183256,0.08570535956841498,,0.08570535956841496,,,,,,,,,
