Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
1370.219;588.1478;-22.52758;2366.826;-2.158099;-1.560127;1496.891;93.28311;-0.1347423;0.08783584;0;13:17:39 Глаза закрыты;
-8252.696;-9043.57;299.1615;-6944.748;10.70479;-3.367037;-8158.885;-9544.403;0.1902298;-0.1721218;0;
-17033.63;-17817.46;390.799;-15800.64;14.31038;-5.774979;-16941.66;-18319.49;0.1250713;0.1528879;0;
-16006.77;-16780.02;200.5018;-15063.08;18.78398;-1.48239;-15897.21;-17274.79;-0.004989009;0.2177016;0;
-16378.57;-17151.14;207.984;-15405;24.05639;-0.8780544;-16268.92;-17643.72;0.1249507;-0.1073539;0;
-17045.25;-17814.31;190.1745;-16146.08;17.26707;-9.383821;-16952.13;-18310.21;-0.1350442;0.08765603;0;
-7672.999;-8437.008;-123.0467;-7092.009;17.31707;-10.78097;-7588.934;-8929.502;-0.1998759;0.1525353;0;
625.3247;-150.504;-218.3439;1264.67;20.38112;-13.65035;709.3991;-637.2871;0.2550963;0.08741468;0;
-505.5168;-1293.965;-20.92675;384.1854;17.94877;-16.11494;-437.0503;-1787.506;0.3847747;0.2172616;0;
200.5428;-588.4255;-26.38734;1053.432;28.37959;-9.333652;254.2291;-1085.687;0.4493554;0.0221412;0;
739.8201;-52.25965;-14.11698;1674.092;31.16509;-8.520478;780.459;-547.6155;0.3839366;0.1520537;0;
-8901.796;-9694.517;276.4543;-7645.813;14.11986;-8.243985;-8900.803;-10199.12;0.1236814;0.08693352;0;
-17520.2;-18315.84;366.7091;-16325.75;11.02519;-7.431967;-17538.87;-18807.51;-0.1363122;-0.04308852;0;
-16460.82;-17282.39;178.8411;-15537.2;9.942387;-6.888636;-16463.02;-17725.35;0.05872677;0.2817915;0;
-16809.54;-17673.47;173.9763;-15862.93;7.18573;-6.144902;-16810.18;-18068.7;0.5134392;0.08660631;0;
-17354.9;-18244.39;167.2423;-16767.09;9.724106;-9.956694;-17353.52;-18610.64;-0.07178283;-0.1733501;0;
-7921.083;-8798.794;-133.9151;-8154.973;8.843678;-10.75042;-7900.643;-9164.317;-0.3315801;-0.1082086;0;
407.3505;-463.232;-232.5434;-97.19952;12.45114;-14.02172;423.6469;-841.319;0.1884918;-0.1080998;0;
-673.9843;-1566.493;-44.8727;-1056.62;12.03746;-16.61991;-690.4689;-1941.514;-0.1365343;0.08691082;0;
90.9963;-812.8282;-60.49162;-274.8565;18.45475;-11.11073;50.57147;-1180.944;-0.3962664;0.1517908;0;
691.072;-202.1306;-26.57285;583.582;20.51329;-10.4298;637.663;-583.0889;-0.006064219;0.02170363;0;
-8975.967;-9843.987;312.9863;-8765.571;11.91886;-15.24197;-9046.267;-10259.61;0.1238766;0.08664916;0;
-17597.89;-18425.21;406.6246;-17614.08;12.04061;-16.09737;-17662.44;-18875.03;-0.006182597;-0.04337259;0;
-16410.05;-17207.02;186.7951;-16835.74;-0.4300716;-13.20099;-16454.69;-17663.66;-0.3310131;0.02163834;0;
-16687.88;-17476.54;177.7056;-17153.54;-4.850269;-12.85287;-16731.54;-17956.5;-0.2657132;0.02161659;0;
-17350.83;-18109.87;170.9053;-17886.97;0.9817537;-13.64369;-17368.93;-18659.19;-0.2654462;-0.1083398;0;
-8095.275;-8789.618;-123.4935;-8876.172;-0.3584034;-13.36205;-8047.438;-9379.942;-0.5900161;-0.1731983;0;
17.69177;-623.5112;-215.3856;-628.5194;6.339762;-14.15242;111.0197;-1214.336;-0.2645866;-0.1080569;0;
