Fp1;Fp2;O1;O2;POLY3;POLY4;A1;A2;Video;Audio;event;
-298.2366;0;-257.9177;-267.0683;7.953752;-9.02407;-298.4056;-297.7899;0.1720335;0.2839073;0;12:43:12 Глаза закрыты;
-673.8729;0;-613.3548;-656.8538;1.582747;-2.785833;-669.6066;-667.0549;-0.02304136;0.1536873;0;
-399.8957;0;-369.4857;-416.0021;0.8442229;-1.77829;-399.4442;-396.4579;-0.08798555;0.08856557;0;
-187.4755;0;-170.9016;-217.5586;2.383616;-4.857596;-186.837;-188.0391;0.1070049;0.2184113;0;
-166.9223;0;-148.4911;-197.6624;0.1713942;-4.115903;-165.5349;-169.297;-0.02303732;0.1532245;0;
328.4965;0;311.0522;292.4774;10.82114;-2.906197;321.8865;319.1277;-0.1529489;0.0231358;0;
716.4712;0;678.9296;693.1695;12.88637;-2.099481;706.3072;702.2393;0.04210685;0.2829819;0;
390.2274;0;385.2072;400.5573;5.371337;0.7159115;384.6963;379.2582;-0.08787014;0.3476649;0;
164.7609;0;173.0516;190.8849;5.299567;1.85378;157.4238;156.1766;-0.02281451;0.2823482;0;
169.343;0;172.5654;192.5672;-3.815437;2.58873;160.2641;162.1416;0.3670125;0.4769666;0;
-289.1593;0;-253.3315;-262.7725;-7.629996;2.921043;-290.2955;-288.9822;0.236709;0.4764873;0;
-676.299;0;-621.017;-663.8692;-5.478876;3.052074;-673.0613;-670.1876;-0.02339821;0.2811065;0;
-398.8835;0;-374.3292;-420.2618;-7.616824;3.11599;-399.7095;-396.5888;-0.0233747;-0.04401266;0;
-192.024;0;-179.9256;-227.7486;-5.331019;0.5676296;-192.0371;-193.3548;-0.2832206;0.2808683;0;
-177.5258;0;-162.5035;-213.8391;-4.99087;0.2321446;-176.7892;-180.292;-0.4128707;0.4754881;0;
326.4619;0;304.0504;285.6873;-3.981477;-3.184218;318.6395;315.8899;-0.2825211;0.3450756;0;
720.4981;0;677.8693;694.5071;-1.967744;-4.453572;709.935;704.5645;-0.1523026;0.4096963;0;
398.6855;0;389.5202;406.5786;-4.979877;-1.836885;393.6927;387.2656;-0.0871822;0.4742519;0;
174.5849;0;178.2973;194.7764;-5.175944;-1.969005;167.6606;166.05;0.04284008;0.4088081;0;
164.8518;0;166.0617;184.2733;0.4553351;3.056571;156.5601;157.7622;0.3026664;-0.1763088;0;
-292.709;0;-256.5803;-265.8107;1.325534;5.397902;-293.1213;-292.545;0.4972643;-0.241099;0;
-665.04;0;-609.6448;-654.4106;1.4589;3.048076;-662.3285;-660.0662;0.4317973;0.1489473;0;
-399.2551;0;-372.4637;-423.1815;2.127019;3.446911;-400.6067;-398.4716;0.1065267;-0.1760391;0;
-196.2057;0;-182.4972;-233.1016;-3.568545;6.658506;-197.3686;-199.9833;-0.2833844;-0.3057969;0;
-165.5864;0;-152.204;-203.3822;-6.311626;7.991474;-167.8101;-172.8584;0.0417371;-0.5003916;0;
332.3298;0;308.5924;290.1992;-1.749957;5.304249;320.6131;316.0696;0.1716298;-0.5648562;0;
717.3022;0;671.912;688.3323;-0.8111692;5.834783;701.2869;694.8115;-0.02344463;-0.04454986;0;
389.9956;0;377.4471;395.6;-12.46465;2.144859;378.4942;372.2127;0.1065136;-0.2394071;0;
