Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,event_text
4.476,-2.7403,0.095121,-0.42704,0.9995,-0.080058,1.9341,-1.144,2.7164,0.84831,Kaggle Complete EEG Dataset s00
1.208,-3.3088,-0.52935,0.40699,-0.048363,-0.12965,1.5357,-2.2263,4.8287,0.45261,Kaggle Complete EEG Dataset s00
-2.546,-3.7083,-1.0033,1.877,-1.1323,-0.094006,1.1285,-3.0953,6.6513,-0.10393,Kaggle Complete EEG Dataset s00
-6.1871,-3.6804,-1.1031,4.0157,-1.9841,0.076473,0.79364,-3.4209,7.6371,-0.7425,Kaggle Complete EEG Dataset s00
-9.111,-3.0027,-0.6514,6.7177,-2.3372,0.40193,0.58741,-2.9829,7.4512,-1.3264,Kaggle Complete EEG Dataset s00
-10.882,-1.5795,0.41845,9.7431,-2.0216,0.86998,0.50809,-1.7585,6.141,-1.6963,Kaggle Complete EEG Dataset s00
-11.36,0.49351,2.0272,12.765,-1.0141,1.431,0.49752,0.027729,4.1671,-1.7221,Kaggle Complete EEG Dataset s00
-10.724,2.9184,3.9593,15.421,0.5498,2.0106,0.44111,1.9538,2.2732,-1.357,Kaggle Complete EEG Dataset s00
-9.3421,5.2558,5.923,17.404,2.4207,2.519,0.2102,3.5153,1.2398,-0.66369,Kaggle Complete EEG Dataset s00
-7.6635,7.0347,7.6253,18.491,4.3146,2.8832,-0.30978,4.2651,1.5965,0.18882,Kaggle Complete EEG Dataset s00
-5.9874,7.8993,8.8394,18.598,5.9952,3.0552,-1.1805,3.9327,3.4342,0.9609,Kaggle Complete EEG Dataset s00
-4.4585,7.7124,9.4559,17.769,7.327,3.0227,-2.3985,2.4927,6.3767,1.4209,Kaggle Complete EEG Dataset s00
-3.0294,6.5954,9.4971,16.177,8.2913,2.8165,-3.895,0.14926,9.7343,1.4225,Kaggle Complete EEG Dataset s00
-1.5556,4.892,9.0898,14.093,8.9644,2.4926,-5.5378,-2.7215,12.763,0.95125,Kaggle Complete EEG Dataset s00
0.12831,3.0595,8.4288,11.858,9.4775,2.1315,-7.1683,-5.6749,14.919,0.147,Kaggle Complete EEG Dataset s00
2.117,1.539,7.7235,9.8231,9.9618,1.82,-8.6119,-8.2797,16.021,-0.74411,Kaggle Complete EEG Dataset s00
4.3815,0.63065,7.1355,8.2858,10.502,1.6278,-9.7153,-10.22,16.287,-1.4358,Kaggle Complete EEG Dataset s00
6.7616,0.43587,6.7472,7.4173,11.105,1.5906,-10.387,-11.329,16.184,-1.7124,Kaggle Complete EEG Dataset s00
8.9788,0.85326,6.5396,7.1974,11.681,1.6852,-10.614,-11.634,16.222,-1.5033,Kaggle Complete EEG Dataset s00
10.681,1.6284,6.389,7.4209,12.056,1.8324,-10.493,-11.306,16.731,-0.913,Kaggle Complete EEG Dataset s00
11.509,2.4374,6.1132,7.7316,12.006,1.9068,-10.189,-10.625,17.729,-0.20365,Kaggle Complete EEG Dataset s00
11.164,2.976,5.5252,7.7443,11.321,1.7828,-9.9022,-9.8825,18.94,0.30142,Kaggle Complete EEG Dataset s00
9.5016,3.0217,4.4997,7.1556,9.8797,1.3969,-9.7964,-9.3069,19.917,0.33519,Kaggle Complete EEG Dataset s00
6.5961,2.4731,3.0225,5.8437,7.7133,0.78939,-9.9233,-8.9836,20.246,-0.21652,Kaggle Complete EEG Dataset s00
2.7685,1.3601,1.2062,3.8994,5.0266,0.12452,-10.214,-8.8461,19.723,-1.2572,Kaggle Complete EEG Dataset s00
-1.4716,-0.1783,-0.74491,1.5808,2.1655,-0.34198,-10.493,-8.6947,18.43,-2.5086,Kaggle Complete EEG Dataset s00
-5.5146,-1.9333,-2.593,-0.79591,-0.46203,-0.34663,-10.544,-8.2843,16.711,-3.596,Kaggle Complete EEG Dataset s00
-8.8272,-3.6784,-4.1415,-2.9564,-2.5073,0.2981,-10.211,-7.4107,15.031,-4.1654,Kaggle Complete EEG Dataset s00
-11.073,-5.2109,-5.3001,-4.7499,-3.7728,1.6108,-9.4492,-5.9867,13.81,-3.9981,Kaggle Complete EEG Dataset s00
-12.213,-6.3995,-6.0846,-6.1436,-4.2614,3.4256,-8.3775,-4.0881,13.278,-3.062,Kaggle Complete EEG Dataset s00
-12.479,-7.1905,-6.6013,-7.1738,-4.1591,5.4218,-7.2106,-1.9259,13.444,-1.5017,Kaggle Complete EEG Dataset s00
-12.277,-7.6099,-6.9754,-7.868,-3.744,7.2103,-6.2129,0.21346,14.121,0.4124,Kaggle Complete EEG Dataset s00
-12.058,-7.7431,-7.3082,-8.1969,-3.3116,8.4486,-5.596,2.057,15.025,2.3748,Kaggle Complete EEG Dataset s00
-12.174,-7.7093,-7.6395,-8.0788,-3.0694,8.912,-5.4744,3.3984,15.883,4.12,Kaggle Complete EEG Dataset s00
-12.805,-7.6377,-7.9597,-7.4264,-3.104,8.5385,-5.8392,4.1482,16.506,5.476,Kaggle Complete EEG Dataset s00
-13.966,-7.6357,-8.2338,-6.2235,-3.3909,7.4195,-6.5831,4.3293,16.808,6.3623,Kaggle Complete EEG Dataset s00
-15.55,-7.7808,-8.4415,-4.5736,-3.8276,5.7503,-7.549,4.0611,16.789,6.7998,Kaggle Complete EEG Dataset s00
-17.391,-8.0969,-8.5921,-2.7147,-4.2773,3.7852,-8.5714,3.513,16.504,6.8834,Kaggle Complete EEG Dataset s00
-19.338,-8.5381,-8.7173,-0.97035,-4.6102,1.789,-9.5073,2.8733,16.037,6.7563,Kaggle Complete EEG Dataset s00
-21.229,-9.0072,-8.8472,0.3543,-4.7155,0.012931,-10.241,2.3115,15.485,6.581,Kaggle Complete EEG Dataset s00
-22.937,-9.355,-8.9835,1.0357,-4.5065,-1.3292,-10.699,1.9515,14.971,6.5038,Kaggle Complete EEG Dataset s00
-24.329,-9.4305,-9.0961,0.99391,-3.9515,-2.0793,-10.842,1.8415,14.623,6.6212,Kaggle Complete EEG Dataset s00
-25.304,-9.1165,-9.1167,0.29434,-3.0651,-2.1553,-10.674,1.9332,14.558,6.9494,Kaggle Complete EEG Dataset s00
-25.811,-8.3731,-8.9883,-0.8795,-1.9308,-1.571,-10.251,2.1006,14.843,7.419,Kaggle Complete EEG Dataset s00
-25.877,-7.2521,-8.6776,-2.2877,-0.69265,-0.46906,-9.6624,2.1648,15.459,7.8935,Kaggle Complete EEG Dataset s00
-25.588,-5.8827,-8.1879,-3.6651,0.47052,0.94127,-9.0155,1.9492,16.292,8.2136,Kaggle Complete EEG Dataset s00
-25.078,-4.4417,-7.5507,-4.7481,1.3887,2.3919,-8.3986,1.3416,17.152,8.2571,Kaggle Complete EEG Dataset s00
-24.471,-3.108,-6.8106,-5.2932,1.945,3.6395,-7.861,0.33957,17.829,7.9836,Kaggle Complete EEG Dataset s00
-23.838,-2.0228,-6.0006,-5.0806,2.1108,4.5105,-7.3869,-0.93761,18.155,7.4464,Kaggle Complete EEG Dataset s00
-23.189,-1.2754,-5.1384,-3.9613,1.9378,4.946,-6.9162,-2.279,18.067,6.7756,Kaggle Complete EEG Dataset s00
-22.496,-0.89979,-4.2318,-1.8843,1.5357,5.0049,-6.3751,-3.4507,17.613,6.1274,Kaggle Complete EEG Dataset s00
-21.731,-0.89184,-3.2888,1.0339,1.024,4.8391,-5.7123,-4.2624,16.951,5.6416,Kaggle Complete EEG Dataset s00
-20.922,-1.2258,-2.341,4.5009,0.49214,4.6345,-4.9332,-4.627,16.274,5.3859,Kaggle Complete EEG Dataset s00
-20.15,-1.8459,-1.4407,8.0678,-0.019536,4.557,-4.1154,-4.5811,15.753,5.3457,Kaggle Complete EEG Dataset s00
-19.548,-2.6687,-0.65615,11.197,-0.52113,4.6949,-3.3839,-4.2578,15.466,5.4325,Kaggle Complete EEG Dataset s00
-19.257,-3.5711,-0.06179,13.379,-1.0458,5.0436,-2.8762,-3.8497,15.368,5.5081,Kaggle Complete EEG Dataset s00
-19.349,-4.4099,0.28532,14.248,-1.6238,5.5117,-2.7088,-3.547,15.308,5.4245,Kaggle Complete EEG Dataset s00
-19.856,-5.03,0.34237,13.659,-2.2637,5.9596,-2.9344,-3.5011,15.057,5.0545,Kaggle Complete EEG Dataset s00
-20.712,-5.3122,0.085611,11.72,-2.9484,6.2587,-3.5372,-3.7992,14.393,4.3307,Kaggle Complete EEG Dataset s00
-21.802,-5.2049,-0.49607,8.7619,-3.6402,6.3362,-4.4362,-4.4596,13.17,3.2627,Kaggle Complete EEG Dataset s00
-23.016,-4.7378,-1.4011,5.2422,-4.3018,6.2013,-5.5079,-5.4502,11.351,1.9389,Kaggle Complete EEG Dataset s00
-24.256,-4.0243,-2.612,1.659,-4.91,5.9332,-6.6166,-6.709,9.0489,0.51052,Kaggle Complete EEG Dataset s00
-25.472,-3.2233,-4.0828,-1.5518,-5.4707,5.6481,-7.6442,-8.1605,6.4697,-0.83419,Kaggle Complete EEG Dataset s00
-26.644,-2.4998,-5.7249,-4.0794,-6.0112,5.4435,-8.5132,-9.722,3.8839,-1.9215,Kaggle Complete EEG Dataset s00
-27.747,-1.983,-7.3938,-5.7602,-6.5676,5.3644,-9.1742,-11.313,1.5338,-2.6277,Kaggle Complete EEG Dataset s00
-28.719,-1.7366,-8.8995,-6.5797,-7.1629,5.383,-9.606,-12.829,-0.40553,-2.9075,Kaggle Complete EEG Dataset s00
-29.436,-1.7525,-10.036,-6.6215,-7.7798,5.4295,-9.7964,-14.145,-1.8562,-2.7757,Kaggle Complete EEG Dataset s00
-29.717,-1.9751,-10.591,-6.0563,-8.3433,5.4249,-9.7171,-15.12,-2.8183,-2.2947,Kaggle Complete EEG Dataset s00
-29.357,-2.3269,-10.421,-5.0788,-8.7253,5.3272,-9.324,-15.592,-3.3286,-1.5242,Kaggle Complete EEG Dataset s00
-28.196,-2.7383,-9.4654,-3.8813,-8.7801,5.149,-8.5608,-15.427,-3.4172,-0.5141,Kaggle Complete EEG Dataset s00
-26.195,-3.1835,-7.8202,-2.6493,-8.3678,4.9475,-7.3869,-14.533,-3.0734,0.73893,Kaggle Complete EEG Dataset s00
-23.476,-3.6745,-5.6947,-1.5246,-7.4237,4.791,-5.7899,-12.909,-2.2562,2.2364,Kaggle Complete EEG Dataset s00
-20.347,-4.2568,-3.3934,-0.6033,-5.9896,4.7228,-3.8139,-10.641,-0.93305,3.9688,Kaggle Complete EEG Dataset s00
-17.273,-4.9704,-1.2996,0.065384,-4.2153,4.7368,-1.556,-7.9013,0.85925,5.8749,Kaggle Complete EEG Dataset s00
-14.759,-5.835,0.26471,0.50148,-2.3358,4.7926,0.84476,-4.9159,2.991,7.8549,Kaggle Complete EEG Dataset s00
-13.23,-6.8089,1.0746,0.76132,-0.61914,4.8375,3.2349,-1.9144,5.2222,9.7707,Kaggle Complete EEG Dataset s00
-12.96,-7.7987,1.0794,0.93758,0.70835,4.8468,5.4735,0.90593,7.2545,11.495,Kaggle Complete EEG Dataset s00
-13.966,-8.6574,0.41053,1.1175,1.5184,4.8406,7.4547,3.4076,8.8219,12.939,Kaggle Complete EEG Dataset s00
-15.991,-9.2159,-0.63396,1.3664,1.8023,4.8716,9.1187,5.5263,9.7581,14.078,Kaggle Complete EEG Dataset s00
-18.579,-9.3073,-1.6642,1.7062,1.674,4.9956,10.455,7.2552,10.078,14.953,Kaggle Complete EEG Dataset s00
-21.132,-8.8064,-2.2776,2.1278,1.3252,5.242,11.486,8.6218,9.9807,15.651,Kaggle Complete EEG Dataset s00
-23.097,-7.6397,-2.1603,2.6129,0.98076,5.5861,12.26,9.6628,9.8099,16.274,Kaggle Complete EEG Dataset s00
-24.027,-5.827,-1.1538,3.1562,0.8323,5.9596,12.818,10.392,9.9483,16.904,Kaggle Complete EEG Dataset s00
-23.715,-3.4896,0.7085,3.7849,1.0081,6.2788,13.196,10.786,10.718,17.583,Kaggle Complete EEG Dataset s00
-22.209,-0.85805,3.2096,4.5554,1.5357,6.4679,13.395,10.786,12.275,18.291,Kaggle Complete EEG Dataset s00
-19.782,1.7576,6.0134,5.5275,2.35,6.4943,13.393,10.309,14.571,18.963,Kaggle Complete EEG Dataset s00
-16.837,4.0175,8.7284,6.7377,3.3071,6.3672,13.143,9.289,17.364,19.484,Kaggle Complete EEG Dataset s00
-13.808,5.6215,11.009,8.1586,4.2209,6.1161,12.593,7.7046,20.274,19.739,Kaggle Complete EEG Dataset s00
-11.068,6.3788,12.61,9.6941,4.894,5.772,11.701,5.6226,22.886,19.621,Kaggle Complete EEG Dataset s00
-8.8719,6.2635,13.421,11.186,5.1636,5.3381,10.464,3.1966,24.84,19.071,Kaggle Complete EEG Dataset s00
-7.3614,5.4088,13.471,12.449,4.9286,4.8003,8.9089,0.65829,25.9,18.08,Kaggle Complete EEG Dataset s00
-6.5654,4.0672,12.878,13.317,4.1705,4.1308,7.1092,-1.731,25.982,16.687,Kaggle Complete EEG Dataset s00
-6.4603,2.5328,11.819,13.686,2.9482,3.3187,5.1633,-3.7259,25.152,14.973,Kaggle Complete EEG Dataset s00
-6.9962,1.062,10.48,13.544,1.3973,2.3888,3.1785,-5.1544,23.582,13.038,Kaggle Complete EEG Dataset s00
-8.0838,-0.17631,9.0185,12.974,-0.31357,1.4062,1.2607,-5.9409,21.509,10.985,Kaggle Complete EEG Dataset s00
-9.6232,-1.1085,7.5524,12.125,-2.0043,0.46393,-0.50015,-6.1174,19.184,8.9101,Kaggle Complete EEG Dataset s00
-11.446,-1.7386,6.1592,11.199,-3.5292,-0.34973,-2.0389,-5.817,16.839,6.8979,Kaggle Complete EEG Dataset s00
-13.369,-2.0904,4.8754,10.385,-4.7962,-0.9712,-3.3133,-5.23,14.657,5.0143,Kaggle Complete EEG Dataset s00
-15.193,-2.1878,3.7136,9.8467,-5.7792,-1.3819,-4.3004,-4.572,12.768,3.3302,Kaggle Complete EEG Dataset s00
-16.745,-2.0387,2.6739,9.7032,-6.5042,-1.6113,-4.9773,-4.0377,11.246,1.9019,Kaggle Complete EEG Dataset s00
-17.904,-1.6471,1.7673,10.007,-7.0158,-1.7244,-5.3298,-3.7511,10.108,0.79523,Kaggle Complete EEG Dataset s00
-18.629,-1.0509,1.0255,10.752,-7.3488,-1.7942,-5.3245,-3.7304,9.343,0.084267,Kaggle Complete EEG Dataset s00
-18.941,-0.32737,0.5088,11.869,-7.5059,-1.8887,-4.935,-3.891,8.9019,-0.16988,Kaggle Complete EEG Dataset s00
-18.957,0.41003,0.28849,13.221,-7.4569,-2.0607,-4.1453,-4.0538,8.7225,0.071399,Kaggle Complete EEG Dataset s00
-18.794,1.0242,0.41053,14.607,-7.1672,-2.3273,-2.9837,-4.0056,8.7117,0.80005,Kaggle Complete EEG Dataset s00
-18.616,1.4038,0.86541,15.799,-6.6252,-2.6868,-1.5472,-3.5653,8.7657,1.9389,Kaggle Complete EEG Dataset s00
-18.579,1.4833,1.5596,16.564,-5.8801,-3.1037,-0.0013142,-2.6619,8.7592,3.3383,Kaggle Complete EEG Dataset s00
-18.818,1.2587,2.3188,16.732,-5.0398,-3.5175,1.4282,-1.3503,8.5538,4.7907,Kaggle Complete EEG Dataset s00
